image,label,x_min,y_min,x_max,y_max
1.jpeg,烂坏,0,34,112,152
1.jpeg,烂坏,16,152,118,254
1.jpeg,烂坏,8,252,113,349
1.jpeg,烂坏,40,348,138,434
1.jpeg,烂坏,97,94,208,196
1.jpeg,烂坏,122,184,218,284
1.jpeg,烂坏,109,282,209,386
1.jpeg,烂坏,132,361,228,436
1.jpeg,烂坏,180,41,282,128
1.jpeg,烂坏,277,72,378,168
1.jpeg,烂坏,200,128,297,230
1.jpeg,烂坏,276,165,382,257
1.jpeg,烂坏,196,233,294,334
1.jpeg,烂坏,220,329,308,416
1.jpeg,烂坏,285,252,381,336
1.jpeg,烂坏,292,332,384,417
3.jpg,烂坏,363,1230,747,1638
3.jpg,烂坏,255,1630,811,2150
3.jpg,烂坏,763,1774,1283,2302
3.jpg,烂坏,1275,1858,1851,2450
3.jpg,烂坏,1563,1518,1995,2030
3.jpg,烂坏,639,1094,1019,1406
3.jpg,烂坏,971,1186,1371,1566
3.jpg,烂坏,667,1382,1115,1826
3.jpg,烂坏,1087,1470,1563,1950
3.jpg,烂坏,1227,974,1615,1326
3.jpg,烂坏,1359,1254,1795,1630
3.jpg,成熟,-4,1476,464,1916
3.jpg,成熟,179,2126,847,2670
3.jpg,成熟,-4,1942,347,2598
4.jpg,烂坏,2,135,446,606
4.jpg,烂坏,392,378,831,768
4.jpg,烂坏,726,168,1137,528
4.jpg,烂坏,62,612,473,1009
4.jpg,烂坏,26,1009,449,1393
4.jpg,烂坏,170,1381,554,1735
4.jpg,烂坏,446,1129,834,1537
4.jpg,烂坏,530,1441,915,1735
4.jpg,烂坏,879,1309,1227,1669
4.jpg,烂坏,1191,1336,1530,1669
4.jpg,烂坏,1143,1012,1527,1345
4.jpg,烂坏,774,936,1170,1339
4.jpg,烂坏,783,519,1191,924
4.jpg,烂坏,1095,288,1515,675
4.jpg,烂坏,1071,672,1527,1033
4.jpg,烂坏,482,744,870,1135
5.jpg,成熟,46,1401,1657,2934
5.jpg,成熟,1621,1299,3202,3000
5.jpg,成熟,3202,1299,4771,2916
5.jpg,成熟,340,401,1753,1754
5.jpg,成熟,1717,293,3274,1802
5.jpg,成熟,3250,437,4783,1766
6.jpg,成熟,439,394,1292,1238
6.jpg,成熟,403,1208,1172,1959
6.jpg,成熟,142,611,811,1232
6.jpg,成熟,979,764,1595,1352
8.jpeg,未熟,157,275,423,511
8.jpeg,未熟,222,592,504,880
9.jpeg,未熟,203,77,312,189
9.jpeg,未熟,203,190,303,290
9.jpeg,未熟,227,229,311,310
9.jpeg,未熟,303,209,395,293
9.jpeg,未熟,301,93,397,191
9.jpeg,未熟,116,65,203,142
9.jpeg,未熟,127,145,212,217
9.jpeg,未熟,63,153,163,249
9.jpeg,未熟,60,89,139,169
9.jpeg,未熟,3,114,95,211
