image,label,brightness,RG_ratio,RB_ratio,pred_rule
1.jpeg,烂坏,119.8501,1.2387,1.3741,烂坏
1.jpeg,烂坏,104.7685,1.3209,1.4821,烂坏
1.jpeg,烂坏,103.9702,1.4511,1.7542,烂坏
1.jpeg,烂坏,101.2012,1.5466,1.7337,烂坏
1.jpeg,烂坏,113.1415,1.6585,1.7106,烂坏
1.jpeg,烂坏,102.4533,1.5892,1.917,烂坏
1.jpeg,烂坏,98.7493,1.6185,1.7627,烂坏
1.jpeg,烂坏,82.7186,2.1476,1.9075,未熟
1.jpeg,烂坏,117.6259,1.6086,1.4891,烂坏
1.jpeg,烂坏,143.4392,1.2345,1.4433,烂坏
1.jpeg,烂坏,91.7577,2.0457,1.9815,未熟
1.jpeg,烂坏,120.1448,1.4408,1.4437,烂坏
1.jpeg,烂坏,130.8165,1.2463,1.6819,烂坏
1.jpeg,烂坏,110.005,1.7721,1.8214,烂坏
1.jpeg,烂坏,102.9007,1.6021,1.7994,烂坏
1.jpeg,烂坏,107.4573,1.7221,1.6875,烂坏
3.jpg,烂坏,117.2345,1.5637,2.2631,烂坏
3.jpg,烂坏,120.8531,1.5603,2.0156,烂坏
3.jpg,烂坏,132.8843,1.5935,1.7808,烂坏
3.jpg,烂坏,131.0844,1.5585,1.8572,烂坏
3.jpg,烂坏,122.9841,1.4175,1.8756,烂坏
3.jpg,烂坏,107.0663,1.9547,2.1861,烂坏
3.jpg,烂坏,101.3206,1.887,2.2911,烂坏
3.jpg,烂坏,115.7254,1.9405,2.2423,烂坏
3.jpg,烂坏,136.7996,1.6342,2.1964,成熟
3.jpg,烂坏,93.3695,1.6817,1.9618,未熟
3.jpg,烂坏,110.5743,1.7673,1.9935,烂坏
3.jpg,成熟,144.4225,1.2284,1.7192,烂坏
3.jpg,成熟,141.8556,1.3884,1.671,烂坏
3.jpg,成熟,128.4921,1.3738,1.818,烂坏
4.jpg,烂坏,121.381,1.2261,1.3439,烂坏
4.jpg,烂坏,115.9927,1.6501,1.6687,烂坏
4.jpg,烂坏,116.2497,1.6312,1.4668,烂坏
4.jpg,烂坏,106.3999,1.3023,1.4329,烂坏
4.jpg,烂坏,104.8481,1.4416,1.7062,烂坏
4.jpg,烂坏,99.4096,1.5838,1.7351,烂坏
4.jpg,烂坏,101.2631,1.6134,1.7022,烂坏
4.jpg,烂坏,84.396,2.1417,1.8326,未熟
4.jpg,烂坏,111.7817,1.7534,1.7571,烂坏
4.jpg,烂坏,108.6017,1.7455,1.6627,烂坏
4.jpg,烂坏,103.6764,1.6029,1.7712,烂坏
4.jpg,烂坏,131.5977,1.2429,1.6645,烂坏
4.jpg,烂坏,93.8907,2.0418,1.9015,未熟
4.jpg,烂坏,144.5705,1.227,1.4049,烂坏
4.jpg,烂坏,119.6264,1.4615,1.442,烂坏
4.jpg,烂坏,104.8111,1.5649,1.834,烂坏
5.jpg,成熟,161.3209,1.365,1.7597,烂坏
5.jpg,成熟,143.7324,2.1429,1.827,成熟
5.jpg,成熟,143.3196,1.8241,1.9347,成熟
5.jpg,成熟,156.7036,1.569,2.124,成熟
5.jpg,成熟,153.0101,1.9896,1.9637,成熟
5.jpg,成熟,161.1089,1.5108,2.0474,烂坏
6.jpg,成熟,120.2134,1.8869,2.1961,烂坏
6.jpg,成熟,132.8175,1.4783,1.7714,烂坏
6.jpg,成熟,159.4413,1.6286,1.9276,成熟
6.jpg,成熟,83.7458,1.7665,2.2496,未熟
8.jpeg,未熟,128.2673,1.1928,2.2618,烂坏
8.jpeg,未熟,106.3929,1.116,2.8071,烂坏
9.jpeg,未熟,106.3516,1.2705,2.0191,烂坏
9.jpeg,未熟,92.82,1.2525,2.4027,未熟
9.jpeg,未熟,99.7397,1.0708,2.6593,烂坏
9.jpeg,未熟,89.3505,1.5734,2.4996,未熟
9.jpeg,未熟,88.1094,1.5676,2.3009,未熟
9.jpeg,未熟,113.0637,1.4329,2.1085,烂坏
9.jpeg,未熟,81.3622,0.8875,1.8297,未熟
9.jpeg,未熟,74.679,1.0069,2.7194,未熟
9.jpeg,未熟,73.1255,1.3151,2.0468,未熟
9.jpeg,未熟,69.8594,1.1012,1.8445,未熟
