fund_code,fund_name,year,dividend_event_count,annual_dividend_per_10_units_yuan,annual_dividend_per_unit_yuan,record_dates,payment_dates,dividend_plans,source
110008,易方达稳健收益债券B,2026,1,0.4500,0.0450,2026-01-13,2026-01-14,每10份派现金0.4500元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2025,1,0.3800,0.0380,2025-01-14,2025-01-15,每10份派现金0.3800元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2023,2,0.6100,0.0610,2023-12-21; 2023-11-23,2023-12-22; 2023-11-24,每10份派现金0.2800元 | 每10份派现金0.3300元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2022,1,0.3200,0.0320,2022-01-10,2022-01-11,每10份派现金0.3200元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2021,2,0.4500,0.0450,2021-12-20; 2021-01-12,2021-12-21; 2021-01-13,每10份派现金0.3200元 | 每10份派现金0.1300元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2020,2,0.8700,0.0870,2020-12-21; 2020-01-14,2020-12-22; 2020-01-15,每10份派现金0.3900元 | 每10份派现金0.4800元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2019,3,1.1000,0.1100,2019-12-26; 2019-01-29; 2019-01-15,2019-12-27; 2019-01-30; 2019-01-16,每10份派现金0.5500元 | 每10份派现金0.2800元 | 每10份派现金0.2700元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2018,1,0.6500,0.0650,2018-01-12,2018-01-15,每10份派现金0.6500元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2017,1,0.9500,0.0950,2017-01-12,2017-01-13,每10份派现金0.9500元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2016,1,2.0000,0.2000,2016-01-04,2016-01-05,每10份派现金2.0000元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2015,1,1.0000,0.1000,2015-01-20,2015-01-21,每10份派现金1.0000元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2013,2,1.4100,0.1410,2013-12-23; 2013-01-21,2013-12-24; 2013-01-22,每10份派现金0.7600元 | 每10份派现金0.6500元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2010,2,1.1200,0.1120,2010-12-22; 2010-05-19,2010-12-23; 2010-05-20,每10份派现金0.8000元 | 每10份派现金0.3200元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2009,2,0.2200,0.0220,2009-12-24; 2009-02-16,2009-12-25; 2009-02-17,每10份派现金0.0500元 | 每10份派现金0.1700元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2008,2,0.4300,0.0430,2008-12-16; 2008-04-23,2008-12-17; 2008-04-24,每10份派现金0.3800元 | 每10份派现金0.0500元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2007,3,0.0590,0.0059,2007-05-25; 2007-03-05; 2007-01-30,2007-05-28; 2007-03-06; 2007-01-31,每10份派现金0.0220元 | 每10份派现金0.0170元 | 每10份派现金0.0200元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2006,12,0.1640,0.0164,2006-12-26; 2006-12-01; 2006-10-31; 2006-09-26; 2006-09-07; 2006-08-01; 2006-06-27; 2006-05-26; 2006-04-25; 2006-03-28; 2006-02-23; 2006-01-20,2006-12-27; 2006-12-04; 2006-11-01; 2006-09-27; 2006-09-08; 2006-08-02; 2006-06-28; 2006-05-29; 2006-04-26; 2006-03-29; 2006-02-24; 2006-01-23,每10份派现金0.0120元 | 每10份派现金0.0170元 | 每10份派现金0.0140元 | 每10份派现金0.0060元 | 每10份派现金0.0150元 | 每10份派现金0.0060元 | 每10份派现金0.0050元 | 每10份派现金0.0130元 | 每10份派现金0.0220元 | 每10份派现金0.0220元 | 每10份派现金0.0180元 | 每10份派现金0.0140元,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2005,3,0.0600,0.0060,2005-12-27; 2005-11-25; 2005-10-25,2005-12-28; 2005-11-28; 2005-10-26,每10份派现金0.0200元 | 每10份派现金0.0200元 | 每10份派现金0.0200元,天天基金/东方财富分红送配
