fund_code,fund_name,year,record_date,ex_dividend_date,dividend_plan,dividend_per_10_units_yuan,dividend_per_unit_yuan,payment_date,source
110008,易方达稳健收益债券B,2026,2026-01-13,2026-01-13,每10份派现金0.4500元,0.4500,0.0450,2026-01-14,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2025,2025-01-14,2025-01-14,每10份派现金0.3800元,0.3800,0.0380,2025-01-15,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2023,2023-12-21,2023-12-21,每10份派现金0.2800元,0.2800,0.0280,2023-12-22,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2023,2023-11-23,2023-11-23,每10份派现金0.3300元,0.3300,0.0330,2023-11-24,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2022,2022-01-10,2022-01-10,每10份派现金0.3200元,0.3200,0.0320,2022-01-11,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2021,2021-12-20,2021-12-20,每10份派现金0.3200元,0.3200,0.0320,2021-12-21,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2021,2021-01-12,2021-01-12,每10份派现金0.1300元,0.1300,0.0130,2021-01-13,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2020,2020-12-21,2020-12-21,每10份派现金0.3900元,0.3900,0.0390,2020-12-22,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2020,2020-01-14,2020-01-14,每10份派现金0.4800元,0.4800,0.0480,2020-01-15,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2019,2019-12-26,2019-12-26,每10份派现金0.5500元,0.5500,0.0550,2019-12-27,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2019,2019-01-29,2019-01-29,每10份派现金0.2800元,0.2800,0.0280,2019-01-30,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2019,2019-01-15,2019-01-15,每10份派现金0.2700元,0.2700,0.0270,2019-01-16,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2018,2018-01-12,2018-01-12,每10份派现金0.6500元,0.6500,0.0650,2018-01-15,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2017,2017-01-12,2017-01-12,每10份派现金0.9500元,0.9500,0.0950,2017-01-13,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2016,2016-01-04,2016-01-04,每10份派现金2.0000元,2.0000,0.2000,2016-01-05,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2015,2015-01-20,2015-01-20,每10份派现金1.0000元,1.0000,0.1000,2015-01-21,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2013,2013-12-23,2013-12-23,每10份派现金0.7600元,0.7600,0.0760,2013-12-24,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2013,2013-01-21,2013-01-21,每10份派现金0.6500元,0.6500,0.0650,2013-01-22,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2010,2010-12-22,2010-12-22,每10份派现金0.8000元,0.8000,0.0800,2010-12-23,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2010,2010-05-19,2010-05-19,每10份派现金0.3200元,0.3200,0.0320,2010-05-20,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2009,2009-12-24,2009-12-24,每10份派现金0.0500元,0.0500,0.0050,2009-12-25,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2009,2009-02-16,2009-02-16,每10份派现金0.1700元,0.1700,0.0170,2009-02-17,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2008,2008-12-16,2008-12-16,每10份派现金0.3800元,0.3800,0.0380,2008-12-17,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2008,2008-04-23,2008-04-23,每10份派现金0.0500元,0.0500,0.0050,2008-04-24,天天基金/东方财富分红送配
110008,易方达稳健收益债券B,2007,2007-05-25,2007-05-25,每10份派现金0.0220元,0.0220,0.0022,2007-05-28,天天基金/东方财富分红送配
