fund_code,fund_name,nav_date,unit_nav,accumulated_nav,daily_growth_rate_percent,source
110008,易方达稳健收益债券B,2005-09-19,1.0,1.0,,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-09-21,1.0002,1.0002,0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-09-22,1.0002,1.0002,0.0,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-09-23,1.0003,1.0003,0.01,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-09-26,1.0003,1.0003,0.0,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-09-27,1.0004,1.0004,0.01,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-09-28,1.0006,1.0006,0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-09-29,1.0007,1.0007,0.01,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-09-30,1.0007,1.0007,0.0,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-10-10,1.0011,1.0011,0.04,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-10-11,1.0013,1.0013,0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-10-12,1.0013,1.0013,0.0,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-10-13,1.0013,1.0013,0.0,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-10-14,1.0015,1.0015,0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-10-17,1.0016,1.0016,0.01,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-10-18,1.0016,1.0016,0.0,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-10-19,1.0018,1.0018,0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-10-20,1.0021,1.0021,0.03,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-10-21,1.0021,1.0021,0.0,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-10-24,1.0022,1.0022,0.01,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2005-10-25,1.0004,1.0024,0.02,东方财富基金历史净值接口
