stock_code,stock_name,market,report_period,board_date,shareholder_meeting_plan_announcement_date,implementation_announcement_date,dividend_plan,a_share_record_date,a_share_ex_dividend_date,total_dividend,plan_status,payout_ratio,pre_tax_dividend_yield,is_cash_or_bonus_distribution,source_name,source_url,data_collected_date,usage_note
603288,海天味业,A股,2025年报,2026-03-27,2026-05-12,2026-06-05,10派8元(含税),2026-06-12,2026-06-15,46.81亿,实施方案,65.04%,--,是,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2025-12-19,2025-12-19,2026-01-10,2026-01-31,10派3.0元(含税),2026-02-05,2026-02-06,17.56亿,实施方案,--,0.79%,是,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2025中报,2025-08-29,--,2025-09-18,10派2.6元(含税),2025-09-23,2025-09-24,15.21亿,实施方案,37.14%,0.66%,是,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2024年报,2025-04-03,2025-05-10,2025-05-29,10派8.6元(含税),2025-06-04,2025-06-05,47.73亿,实施方案,75.44%,1.95%,是,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2024中报,2024-08-30,--,--,不分配不转增,--,--,--,董事会预案,--,--,否,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2023年报,2024-04-27,2024-05-18,2024-06-13,10派6.6元(含税),2024-06-18,2024-06-19,36.60亿,实施方案,65.35%,1.83%,是,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2023中报,2023-08-30,--,--,不分配不转增,--,--,--,董事会预案,--,--,否,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2022年报,2023-04-26,2023-05-17,2023-05-26,10送2股派7元(含税),2023-05-31,2023-06-01,32.44亿,实施方案,52.24%,1.16%,是,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2022中报,2022-08-30,--,--,不分配不转增,--,--,--,董事会预案,--,--,否,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2021年报,2022-03-25,2022-04-16,2022-04-23,10送1股派7.6元(含税),2022-04-28,2022-04-29,32.02亿,实施方案,48.1%,0.84%,是,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2021中报,2021-08-31,--,--,不分配不转增,--,--,--,董事会预案,--,--,否,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2020年报,2021-03-31,2021-04-24,2021-05-11,10送1股转2股派10.30元(含税),2021-05-14,2021-05-17,33.38亿,实施方案,52.02%,0.59%,是,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2020中报,2020-08-28,--,--,不分配不转增,--,--,--,董事会预案,--,--,否,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2019年报,2020-03-26,2020-04-17,2020-04-28,10转2股派10.8元(含税),2020-05-06,2020-05-07,29.16亿,实施方案,54.55%,0.85%,是,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2019中报,2019-08-15,--,--,不分配不转增,--,--,--,董事会预案,--,--,否,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2018年报,2019-03-26,2019-04-17,2019-04-26,10派9.80元(含税),2019-05-06,2019-05-07,26.46亿,实施方案,60.49%,1.11%,是,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2018中报,2018-08-15,--,--,不分配不转增,--,--,--,董事会预案,--,--,否,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2017年报,2018-03-23,2018-04-13,2018-04-20,10派8.5元(含税),2018-04-25,2018-04-26,22.96亿,实施方案,64.89%,1.35%,是,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2017中报,2017-08-15,--,--,不分配不转增,--,--,--,董事会预案,--,--,否,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2016年报,2017-03-23,2017-04-13,2017-04-19,10派6.8元(含税),2017-04-24,2017-04-25,18.39亿,实施方案,64.76%,1.88%,是,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2016中报,2016-08-16,--,--,不分配不转增,--,--,--,董事会预案,--,--,否,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2015年报,2016-03-10,2016-04-01,2016-04-11,10派6元(含税),2016-04-14,2016-04-15,16.24亿,实施方案,64.52%,1.92%,是,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2015中报,2015-08-14,--,--,不分配不转增,--,--,--,董事会预案,--,--,否,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2014年报,2015-03-10,2015-04-01,2015-04-09,10转8股派8.5元(含税),2015-04-14,2015-04-15,12.78亿,实施方案,60.71%,1.23%,是,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2014中报,2014-08-20,--,--,不分配不转增,--,--,--,董事会预案,--,--,否,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
603288,海天味业,A股,2013年报,2014-03-25,2014-04-15,2014-05-13,10转10股派5元(含税),2014-05-16,2014-05-19,3.74亿,实施方案,22.12%,0.69%,是,同花顺F10-分红融资,https://basic.10jqka.com.cn/603288/bonus.html,2026-09-02,仅作分红记录观察，不构成投资建议
