尿素套利｜近两年交易明细（Word完整提取）,,,,,,,,,,,,,
序号,交易所,合约,手数,开仓日期,平仓日期,方向,开仓价,平仓价,平仓盈亏,持仓天数,结果,平仓月份,Word行号
1,郑商所,UR405,1,2023-12-07,2023-12-07,多头,2286,2273,-260,0,亏损,2023-12,2
2,郑商所,UR405,1,2023-12-07,2023-12-07,多头,2290,2281,-180,0,亏损,2023-12,4
3,郑商所,UR409,1,2023-12-07,2023-12-07,空头,2137,2123,280,0,盈利,2023-12,6
4,郑商所,UR409,1,2023-12-07,2023-12-07,空头,2132,2113,380,0,盈利,2023-12,8
5,郑商所,UR405,1,2023-12-14,2024-01-03,多头,2235,2174,-1220,20,亏损,2024-01,10
6,郑商所,UR405,1,2023-12-14,2024-01-03,多头,2235,2170,-1300,20,亏损,2024-01,12
7,郑商所,UR405,1,2023-12-14,2024-01-03,多头,2235,2163,-1440,20,亏损,2024-01,14
8,郑商所,UR405,1,2023-12-14,2024-01-03,多头,2235,2189,-920,20,亏损,2024-01,16
9,郑商所,UR409,1,2023-12-14,2024-01-03,空头,2096,2027,1380,20,盈利,2024-01,18
10,郑商所,UR409,1,2023-12-14,2024-01-03,空头,2096,2022,1480,20,盈利,2024-01,20
11,郑商所,UR409,1,2023-12-14,2024-01-03,空头,2096,2019,1540,20,盈利,2024-01,22
12,郑商所,UR409,1,2023-12-14,2024-01-03,空头,2096,2024,1440,20,盈利,2024-01,24
13,郑商所,UR405,2,2024-01-12,2024-01-15,多头,2046,2058,480,3,盈利,2024-01,26
14,郑商所,UR409,2,2024-01-12,2024-01-15,空头,1920,1926,-240,3,亏损,2024-01,28
15,郑商所,UR405,1,2024-01-12,2024-01-16,多头,2046,2080,680,4,盈利,2024-01,30
16,郑商所,UR405,1,2024-01-12,2024-01-16,多头,2046,2085,780,4,盈利,2024-01,32
17,郑商所,UR409,1,2024-01-12,2024-01-16,空头,1920,1940,-400,4,亏损,2024-01,34
18,郑商所,UR409,1,2024-01-12,2024-01-16,空头,1920,1945,-500,4,亏损,2024-01,36
19,郑商所,UR405,1,2024-01-23,2024-01-24,多头,2028,2067,780,1,盈利,2024-01,38
20,郑商所,UR405,1,2024-01-23,2024-01-24,多头,2028,2052,480,1,盈利,2024-01,40
21,郑商所,UR405,1,2024-01-23,2024-01-24,多头,2029,2037,160,1,盈利,2024-01,42
22,郑商所,UR409,1,2024-01-23,2024-01-24,空头,1904,1931,-540,1,亏损,2024-01,44
23,郑商所,UR409,1,2024-01-23,2024-01-24,空头,1904,1920,-320,1,亏损,2024-01,46
24,郑商所,UR409,1,2024-01-23,2024-01-24,空头,1905,1910,-100,1,亏损,2024-01,48
25,郑商所,UR405,1,2024-01-23,2024-01-25,多头,2028,2079,1020,2,盈利,2024-01,50
26,郑商所,UR409,1,2024-01-23,2024-01-25,空头,1904,1945,-820,2,亏损,2024-01,52
27,郑商所,UR405,1,2024-02-28,2024-03-01,多头,2118,2175,1140,2,盈利,2024-03,54
28,郑商所,UR405,1,2024-02-28,2024-03-01,多头,2118,2155,740,2,盈利,2024-03,56
29,郑商所,UR409,1,2024-02-28,2024-03-01,空头,1989,2019,-600,2,亏损,2024-03,58
30,郑商所,UR409,1,2024-02-28,2024-03-01,空头,1989,2030,-820,2,亏损,2024-03,60
31,郑商所,UR405,1,2024-02-28,2024-03-04,多头,2118,2184,1320,5,盈利,2024-03,62
32,郑商所,UR409,1,2024-02-28,2024-03-04,空头,1989,2046,-1140,5,亏损,2024-03,64
