期货账户｜平仓交易明细（原始Excel标准化）,,,,,,,,,,,,,,,,,,
序号,平仓日期,开仓日期,交易所,合约,方向,开仓价,平仓价,手数,逐笔平仓盈亏,盯市平仓盈亏,两口径差额,手续费,投保,权利金收支,持仓天数,结果,平仓月份,原始行号
1,2025-10-27,2025-09-04,郑商所,UR605,多头,1756,1721,1,-700,140,-840,0,投机,0,53,亏损,2025-10,3
2,2025-10-27,2025-09-04,郑商所,UR605,多头,1759,1721,1,-760,140,-900,0,投机,0,53,亏损,2025-10,5
3,2025-10-27,2025-10-14,郑商所,UR605,多头,1671,1721,1,1000,140,860,0,投机,0,13,盈利,2025-10,7
4,2025-10-27,2025-10-20,郑商所,UR605,多头,1675,1721,1,920,140,780,0,投机,0,7,盈利,2025-10,9
5,2026-01-16,2026-01-15,郑商所,UR605,空头,1805,1793,1,240,240,0,0,投机,0,1,盈利,2026-01,13
6,2026-01-16,2026-01-15,郑商所,UR609,多头,1769,1764,1,-100,-140,40,0,投机,0,1,亏损,2026-01,15
7,2026-01-22,2026-01-20,郑商所,UR609,多头,1742,1752,1,200,120,80,0,投机,0,2,盈利,2026-01,19
8,2026-02-12,2026-02-02,郑商所,UR609,多头,1760,1765,1,100,260,-160,0,投机,0,10,盈利,2026-02,23
9,2026-02-12,2026-02-04,郑商所,UR609,多头,1741,1765,1,480,260,220,0,投机,0,8,盈利,2026-02,25
10,2026-03-09,2026-03-06,郑商所,UR605,多头,1818,1953,1,2700,2540,160,0,投机,0,3,盈利,2026-03,29
11,2026-03-09,2026-03-09,郑商所,UR605,多头,1909,1882,1,-540,-540,0,0,投机,0,0,亏损,2026-03,31
12,2026-03-09,2026-03-06,郑商所,UR609,空头,1835,1967,1,-2640,-2580,-60,0,投机,0,3,亏损,2026-03,33
13,2026-03-09,2026-03-09,郑商所,UR609,空头,1953,1899,1,1080,1080,0,0,投机,0,0,盈利,2026-03,35
14,2026-03-10,2026-03-10,郑商所,UR605,多头,1837,1859,1,440,440,0,0,投机,0,0,盈利,2026-03,39
15,2026-03-10,2026-03-10,郑商所,UR609,空头,1873,1889,1,-320,-320,0,0,投机,0,0,亏损,2026-03,41
16,2026-03-24,2026-03-16,郑商所,UR605,多头,1906,1872,1,-680,-240,-440,0,投机,0,8,亏损,2026-03,45
17,2026-03-24,2026-03-19,郑商所,UR605,多头,1856,1872,1,320,-240,560,0,投机,0,5,盈利,2026-03,47
18,2026-03-24,2026-03-16,郑商所,UR609,空头,1943,1936,1,140,20,120,0,投机,0,8,盈利,2026-03,49
19,2026-03-24,2026-03-19,郑商所,UR609,空头,1904,1936,1,-640,20,-660,0,投机,0,5,亏损,2026-03,51
20,2026-05-26,2026-05-20,郑商所,UR609,多头,1818,1875,1,1140,540,600,0,投机,0,6,盈利,2026-05,55
21,2026-05-29,2026-05-29,郑商所,UR609,多头,1841,1836,1,-100,-100,0,0,投机,0,0,亏损,2026-05,59
22,2026-06-02,2026-06-01,郑商所,UR609,多头,1825,1817,1,-160,-340,180,0,投机,0,1,亏损,2026-06,63
23,2026-06-04,2026-06-04,郑商所,UR609,多头,1779,1778,1,-20,-20,0,0,投机,0,0,亏损,2026-06,67
24,2026-06-04,2026-06-04,郑商所,UR609,多头,1772,1769,1,-60,-60,0,0,投机,0,0,亏损,2026-06,69
25,2026-06-09,2026-06-09,郑商所,UR609,多头,1795,1790,1,-100,-100,0,0,投机,0,0,亏损,2026-06,73
26,2026-06-10,2026-06-10,郑商所,UR609,多头,1795,1811,1,320,320,0,0,投机,0,0,盈利,2026-06,77
27,2026-06-12,2026-06-12,郑商所,UR609,多头,1785,1786,1,20,20,0,0,投机,0,0,盈利,2026-06,81
28,2026-06-15,2026-06-12,郑商所,UR609,多头,1777,1783,1,120,-100,220,0,投机,0,3,盈利,2026-06,85
29,2026-06-15,2026-06-15,郑商所,UR609,多头,1758,1786,1,560,560,0,0,投机,0,0,盈利,2026-06,87
30,2026-06-17,2026-06-16,郑商所,UR609,多头,1772,1832,1,1200,1280,-80,0,投机,0,1,盈利,2026-06,91
31,2026-06-22,2026-06-22,郑商所,UR609,多头,1780,1778,1,-40,-40,0,0,投机,0,0,亏损,2026-06,95
32,2026-06-24,2026-06-22,郑商所,UR609,多头,1774,1774,1,0,-80,80,0,投机,0,2,持平,2026-06,99
33,2026-06-25,2026-06-24,郑商所,UR609,多头,1770,1760,1,-200,-320,120,0,投机,0,1,亏损,2026-06,103
34,2026-06-25,2026-06-25,郑商所,UR609,多头,1763,1756,1,-140,-140,0,0,投机,0,0,亏损,2026-06,105
35,2026-06-26,2026-06-25,郑商所,UR609,多头,1737,1728,1,-180,-560,380,0,投机,0,1,亏损,2026-06,109
36,2026-07-20,2026-07-20,郑商所,UR609,空头,1721,1721,1,0,0,0,0,投机,0,0,持平,2026-07,113
37,2026-07-20,2026-07-16,郑商所,UR609,多头,1710,1720,1,200,720,-520,0,投机,0,4,盈利,2026-07,115
38,2026-07-20,2026-07-17,郑商所,UR609,多头,1685,1718,1,660,680,-20,0,投机,0,3,盈利,2026-07,117
39,2026-07-31,2026-07-29,郑商所,UR701,多头,1755,1768,1,260,360,-100,0,投机,0,2,盈利,2026-07,121
40,2026-08-05,2026-08-03,郑商所,UR705,多头,1786,1791,1,100,640,-540,0,投机,0,2,盈利,2026-08,125
41,2026-08-05,2026-08-03,郑商所,UR705,多头,1758,1804,1,920,900,20,0,投机,0,2,盈利,2026-08,127
